Pandemic_covid19,Country,Year,Cases_covid19,Deaths_covid19,lon_covid19,lat_covid19,Pandemic_h1n1,year,Cases_h1n1,Deaths_h1n1,lon_h1n1,lat_h1n1
covid19,Japan,2020.0,18885.0,500.0,138.03089558,37.59230135,h1n1,2009.0,15334.0,0.0,138.03089558,37.59230135
covid19,Jersey,2020.0,6.0,0.0,,,,,,,,
covid19,Jordan,2020.0,755.0,0.0,36.77136104,31.24579091,h1n1,2009.0,130.0,0.0,36.77136104,31.24579091
covid19,Kazakhstan,2020.0,436.0,3.0,67.29149357,48.15688067,,,,,,
covid19,Kenya,2020.0,91.0,0.0,37.79593973,0.59988022,h1n1,2009.0,28.0,0.0,37.79593973,0.59988022
covid19,Kosovo,2020.0,14.0,0.0,20.87249811,42.57078707,,,,,,
covid19,Kuwait,2020.0,2652.0,0.0,47.58700459,29.33431262,h1n1,2009.0,468.0,0.0,47.58700459,29.33431262
covid19,Kyrgyzstan,2020.0,98.0,0.0,74.54165513,41.46221943,,,,,,
covid19,Lao People's Democratic Republic,2020.0,2.0,0.0,,,,,,,,
covid19,Latvia,2020.0,1106.0,0.0,24.91235983,56.85085163,h1n1,2009.0,6.0,0.0,24.91235983,56.85085163
covid19,Lebanon,2020.0,2323.0,49.0,35.88016072,33.92306631,h1n1,2009.0,286.0,0.0,35.88016072,33.92306631
covid19,Liberia,2020.0,20.0,0.0,-9.32207573,6.45278492,,,,,,
covid19,Libya,2020.0,1.0,0.0,18.00866169,27.03094495,h1n1,2009.0,1.0,0.0,18.00866169,27.03094495
covid19,Liechtenstein,2020.0,289.0,0.0,9.53574312,47.13665835,,,,,,
covid19,Lithuania,2020.0,798.0,5.0,23.88719355,55.32610984,h1n1,2009.0,8.0,0.0,23.88719355,55.32610984
covid19,Luxembourg,2020.0,4872.0,46.0,6.07182201,49.76725361,h1n1,2009.0,37.0,0.0,6.07182201,49.76725361
covid19,Madagascar,2020.0,38.0,0.0,46.70473674,-19.37189587,,,,,,
covid19,Malaysia,2020.0,12033.0,53.0,109.69762284,3.78986846,h1n1,2009.0,688.0,0.0,109.69762284,3.78986846
covid19,Maldives,2020.0,179.0,0.0,73.45713004,3.7287092000000004,,,,,,
covid19,Malta,2020.0,680.0,0.0,14.40523316,35.92149632,h1n1,2009.0,26.0,0.0,14.40523316,35.92149632
covid19,Martinique,2020.0,172.0,6.0,,,,,,,,
covid19,Mauritania,2020.0,17.0,0.0,-10.34779815,20.25736706,,,,,,
covid19,Mauritius,2020.0,138.0,7.0,57.57120551,-20.27768704,h1n1,2009.0,9.0,0.0,57.57120551,-20.27768704
covid19,Mayotte,2020.0,21.0,0.0,,,,,,,,
